,recall_at_1,recall_at_2,recall_at_3,recall_at_4,recall_at_5,recall_at_10,recall_at_20,recall_at_50,mean_rank,average_similarity,threshold
0,0.58,0.6043956,0.609375,0.6111111,0.622449,0.77238804,0.94402987,1.0,7.039999961853027,0.5773389,
1,0.5,0.53846157,0.5546875,0.54320985,0.5408163,0.5708955,0.5708955,0.5708955,7.039999961853027,0.5773389,0.55
2,0.5,0.52747256,0.5390625,0.5185185,0.50510204,0.5335821,0.5335821,0.5335821,7.039999961853027,0.5773389,0.5607142857142857
3,0.5,0.50549453,0.5078125,0.48765433,0.4744898,0.48134327,0.48134327,0.48134327,7.039999961853027,0.5773389,0.5714285714285715
4,0.48,0.4945055,0.4921875,0.46296296,0.45408162,0.4477612,0.4477612,0.4477612,7.039999961853027,0.5773389,0.5821428571428572
5,0.46,0.47252747,0.46875,0.4382716,0.43367347,0.4067164,0.4067164,0.4067164,7.039999961853027,0.5773389,0.5928571428571429
6,0.44,0.45054945,0.453125,0.41975307,0.41326532,0.37313432,0.37313432,0.37313432,7.039999961853027,0.5773389,0.6035714285714285
7,0.44,0.45054945,0.4453125,0.41358024,0.3877551,0.33582088,0.33582088,0.33582088,7.039999961853027,0.5773389,0.6142857142857143
8,0.44,0.43956044,0.4140625,0.37037036,0.34183672,0.2761194,0.2761194,0.2761194,7.039999961853027,0.5773389,0.625
9,0.44,0.4065934,0.3671875,0.3271605,0.30612245,0.24253732,0.24253732,0.24253732,7.039999961853027,0.5773389,0.6357142857142857
10,0.4,0.37362638,0.3203125,0.29012346,0.26530612,0.20522387,0.20522387,0.20522387,7.039999961853027,0.5773389,0.6464285714285714
11,0.36,0.32967034,0.28125,0.25925925,0.23469388,0.18283582,0.18283582,0.18283582,7.039999961853027,0.5773389,0.6571428571428571
12,0.34,0.30769232,0.265625,0.2345679,0.21428572,0.16791044,0.16791044,0.16791044,7.039999961853027,0.5773389,0.6678571428571428
13,0.34,0.2857143,0.2421875,0.21604939,0.19897959,0.14925373,0.14925373,0.14925373,7.039999961853027,0.5773389,0.6785714285714286
14,0.34,0.24175824,0.1953125,0.17283951,0.15816326,0.11940298,0.11940298,0.11940298,7.039999961853027,0.5773389,0.6892857142857143
15,0.28,0.20879121,0.171875,0.15432099,0.14285715,0.108208954,0.108208954,0.108208954,7.039999961853027,0.5773389,0.7
