,recall_at_1,recall_at_2,recall_at_3,recall_at_4,recall_at_5,recall_at_10,recall_at_20,recall_at_50,mean_rank,average_similarity,threshold
0,0.8,0.82417583,0.7890625,0.7839506,0.78571427,0.89179105,0.94402987,1.0,3.6999998,0.6591871,
1,0.78,0.7912088,0.7421875,0.7160494,0.6938776,0.67164177,0.67164177,0.67164177,3.6999998,0.6591871,0.55
2,0.78,0.7912088,0.734375,0.70987654,0.68367344,0.6231343,0.6231343,0.6231343,3.6999998,0.6591871,0.5607142857142857
3,0.78,0.7802198,0.7265625,0.7037037,0.6683673,0.5895522,0.5895522,0.5895522,3.6999998,0.6591871,0.5714285714285715
4,0.78,0.74725276,0.703125,0.6851852,0.6530612,0.54850745,0.54850745,0.54850745,3.6999998,0.6591871,0.5821428571428572
5,0.78,0.72527474,0.6796875,0.6666667,0.622449,0.49253732,0.49253732,0.49253732,3.6999998,0.6591871,0.5928571428571429
6,0.78,0.72527474,0.671875,0.66049385,0.6020408,0.47014925,0.47014925,0.47014925,3.6999998,0.6591871,0.6035714285714285
7,0.76,0.71428573,0.6484375,0.6296296,0.5561224,0.42537314,0.42537314,0.42537314,3.6999998,0.6591871,0.6142857142857143
8,0.76,0.6923077,0.6328125,0.60493827,0.53061223,0.39925373,0.39925373,0.39925373,3.6999998,0.6591871,0.625
9,0.74,0.6703297,0.609375,0.5740741,0.49489796,0.36567163,0.36567163,0.36567163,3.6999998,0.6591871,0.6357142857142857
10,0.72,0.6593407,0.59375,0.537037,0.45408162,0.33582088,0.33582088,0.33582088,3.6999998,0.6591871,0.6464285714285714
11,0.68,0.63736266,0.5625,0.50617284,0.42857143,0.31343284,0.31343284,0.31343284,3.6999998,0.6591871,0.6571428571428571
12,0.64,0.5934066,0.5078125,0.43209878,0.3622449,0.26492536,0.26492536,0.26492536,3.6999998,0.6591871,0.6678571428571428
13,0.6,0.52747256,0.421875,0.36419752,0.3010204,0.22014925,0.22014925,0.22014925,3.6999998,0.6591871,0.6785714285714286
14,0.58,0.46153846,0.34375,0.28395063,0.23469388,0.1716418,0.1716418,0.1716418,3.6999998,0.6591871,0.6892857142857143
15,0.54,0.4065934,0.3046875,0.25308642,0.20918368,0.15298508,0.15298508,0.15298508,3.6999998,0.6591871,0.7
