,recall_at_1,recall_at_2,recall_at_3,recall_at_4,recall_at_5,recall_at_10,recall_at_20,recall_at_50,mean_rank,average_similarity,threshold
0,0.72,0.63736266,0.625,0.654321,0.65816325,0.8432836,0.9589552,1.0,6.64,0.5808424,
1,0.66,0.5934066,0.578125,0.60493827,0.60714287,0.61567163,0.61567163,0.61567163,6.64,0.5808424,0.55
2,0.66,0.5824176,0.5703125,0.58641976,0.57653064,0.5671642,0.5671642,0.5671642,6.64,0.5808424,0.5607142857142857
3,0.66,0.5824176,0.5703125,0.5802469,0.56632656,0.5410448,0.5410448,0.5410448,6.64,0.5808424,0.5714285714285715
4,0.64,0.5604396,0.5546875,0.5555556,0.53571427,0.49253732,0.49253732,0.49253732,6.64,0.5808424,0.5821428571428572
5,0.6,0.52747256,0.5078125,0.5185185,0.50510204,0.4552239,0.4552239,0.4552239,6.64,0.5808424,0.5928571428571429
6,0.6,0.52747256,0.5,0.5,0.4744898,0.41791046,0.41791046,0.41791046,6.64,0.5808424,0.6035714285714285
7,0.6,0.52747256,0.4921875,0.49382716,0.4642857,0.39179105,0.39179105,0.39179105,6.64,0.5808424,0.6142857142857143
8,0.56,0.47252747,0.4375,0.43209878,0.4030612,0.32462686,0.32462686,0.32462686,6.64,0.5808424,0.625
9,0.54,0.45054945,0.3984375,0.40123457,0.36734694,0.2947761,0.2947761,0.2947761,6.64,0.5808424,0.6357142857142857
10,0.54,0.3956044,0.3515625,0.33950618,0.30612245,0.23880596,0.23880596,0.23880596,6.64,0.5808424,0.6464285714285714
11,0.54,0.37362638,0.3046875,0.27160493,0.24489796,0.18656716,0.18656716,0.18656716,6.64,0.5808424,0.6571428571428571
12,0.52,0.34065935,0.28125,0.25308642,0.22959183,0.1716418,0.1716418,0.1716418,6.64,0.5808424,0.6678571428571428
13,0.46,0.30769232,0.25,0.22839506,0.20408164,0.15298508,0.15298508,0.15298508,6.64,0.5808424,0.6785714285714286
14,0.4,0.26373628,0.2109375,0.19135803,0.16836734,0.12313433,0.12313433,0.12313433,6.64,0.5808424,0.6892857142857143
15,0.4,0.25274727,0.203125,0.18518518,0.1632653,0.11940298,0.11940298,0.11940298,6.64,0.5808424,0.7
