,recall_at_1,recall_at_2,recall_at_3,recall_at_4,recall_at_5,recall_at_10,recall_at_20,recall_at_50,mean_rank,average_similarity,threshold
0,0.58,0.5934066,0.5859375,0.59876543,0.627551,0.73507464,0.92537314,1.0,7.44,0.5637433,
1,0.58,0.5714286,0.5390625,0.5555556,0.56632656,0.5671642,0.5895522,0.5895522,7.44,0.5637433,0.55
2,0.54,0.5494506,0.5234375,0.537037,0.5510204,0.53731346,0.55597013,0.55597013,7.44,0.5637433,0.5607142857142857
3,0.54,0.5494506,0.5234375,0.537037,0.54591835,0.51119405,0.5298507,0.5298507,7.44,0.5637433,0.5714285714285715
4,0.54,0.5494506,0.515625,0.5185185,0.53061223,0.48507464,0.5,0.5,7.44,0.5637433,0.5821428571428572
5,0.54,0.53846157,0.5,0.50617284,0.5102041,0.45895523,0.4664179,0.4664179,7.44,0.5637433,0.5928571428571429
6,0.46,0.48351648,0.453125,0.4691358,0.45918366,0.39925373,0.4067164,0.4067164,7.44,0.5637433,0.6035714285714285
7,0.46,0.48351648,0.4453125,0.45061728,0.44387755,0.36567163,0.37313432,0.37313432,7.44,0.5637433,0.6142857142857143
8,0.44,0.46153846,0.421875,0.41975307,0.39795917,0.30597016,0.3097015,0.3097015,7.44,0.5637433,0.625
9,0.42,0.41758242,0.375,0.37037036,0.34183672,0.25746268,0.25746268,0.25746268,7.44,0.5637433,0.6357142857142857
10,0.36,0.37362638,0.3359375,0.3271605,0.28061223,0.20895523,0.20895523,0.20895523,7.44,0.5637433,0.6464285714285714
11,0.36,0.35164836,0.3125,0.2777778,0.23469388,0.1716418,0.1716418,0.1716418,7.44,0.5637433,0.6571428571428571
12,0.34,0.34065935,0.28125,0.2345679,0.19897959,0.14552239,0.14552239,0.14552239,7.44,0.5637433,0.6678571428571428
13,0.3,0.2747253,0.2265625,0.18518518,0.15816326,0.11567164,0.11567164,0.11567164,7.44,0.5637433,0.6785714285714286
14,0.22,0.18681319,0.1484375,0.12345679,0.10714286,0.07835821,0.07835821,0.07835821,7.44,0.5637433,0.6892857142857143
15,0.2,0.15384616,0.125,0.09876543,0.08163265,0.05970149,0.05970149,0.05970149,7.44,0.5637433,0.7
